update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
87,267264,529.0,3.75,2.05,46,630.9565217391304,0.0,0.43478260869565216,558.9347826086956,0.0,-0.00178,11.79848,1.16214,0.00688,0.09749,0.67223,511.9
88,270336,551.4,3.65,1.93,46,509.9347826086956,0.0,0.2826086956521739,441.6304347826087,0.0,-0.00395,11.02748,1.20494,0.00535,0.07284,0.62658,517.5
89,273408,549.0,3.67,1.93,42,662.0952380952381,0.0,0.5,589.9047619047619,0.0,-0.00081,14.15966,1.11034,0.0058,0.05721,0.70724,523.1
90,276480,542.4,3.7,1.97,47,552.6595744680851,0.0,0.2978723404255319,482.1276595744681,0.0,-0.00058,13.63334,1.17298,0.0051,0.05176,0.67328,528.7
91,279552,546.9,3.62,2.0,46,547.1521739130435,0.0,0.32608695652173914,477.67391304347825,0.0,0.00045,13.85968,1.1236,0.00726,0.07959,0.56915,534.3
92,282624,523.2,3.86,2.01,46,541.0217391304348,0.021739130434782608,0.1956521739130435,470.0869565217391,0.0,0.00187,12.40423,1.15385,0.00499,0.04606,0.6026,540.2
93,285696,519.4,3.97,1.95,49,577.0408163265306,0.0,0.20408163265306123,507.44897959183675,0.0,-0.00217,11.56472,1.07599,0.00623,0.06999,0.68604,546.1
94,288768,526.9,3.79,2.04,44,512.1818181818181,0.0,0.18181818181818182,442.70454545454544,0.0,0.00125,12.49727,1.07968,0.00425,0.04427,0.69594,552.0
95,291840,523.6,3.89,1.98,55,523.4727272727273,0.0,0.41818181818181815,454.8909090909091,0.0,-0.00044,12.03047,1.05696,0.00461,0.04126,0.72421,557.8
96,294912,533.7,3.77,1.98,48,570.4166666666666,0.0,0.8958333333333334,500.0625,0.0,0.00084,8.86117,1.0618,0.00332,0.02824,0.80411,563.6
97,297984,543.6,3.66,1.99,41,580.3414634146342,0.0,0.2926829268292683,510.3658536585366,0.0,0.00126,13.54784,1.13375,0.00585,0.05965,0.61684,569.2
98,301056,542.3,3.76,1.91,48,533.375,0.0,0.4791666666666667,463.0208333333333,0.0,-0.00097,10.7438,1.19131,0.00438,0.05168,0.66311,574.9
99,304128,553.4,3.59,1.96,41,614.0,0.0,0.5121951219512195,543.2439024390244,0.0,-0.00047,11.86832,1.15992,0.00566,0.06038,0.66355,580.5
100,307200,531.7,3.78,1.99,53,522.6981132075472,0.0,0.22641509433962265,453.52830188679246,0.0,0.00094,13.81784,1.19441,0.00669,0.07617,0.61797,586.3
101,310272,557.1,3.57,1.95,39,671.7435897435897,0.0,0.5641025641025641,599.3589743589744,0.0,-0.00112,12.61568,1.21226,0.00526,0.06763,0.66898,591.8
102,313344,540.4,3.73,1.95,54,545.6111111111111,0.0,0.5,475.98148148148147,0.0,-0.0002,14.30621,1.20633,0.00583,0.07031,0.63037,597.5
103,316416,524.5,3.88,1.98,50,504.76,0.0,0.38,436.14,0.0,-0.00333,11.32467,1.1891,0.00576,0.06234,0.71483,603.4
104,319488,514.0,3.67,2.31,44,537.4090909090909,0.0,0.25,467.6363636363636,0.0,0.00157,7.81577,1.21615,0.00506,0.05054,0.74183,609.3
105,322560,519.5,3.9,2.01,44,503.29545454545456,0.0,0.3181818181818182,434.0681818181818,0.022727272727272728,-0.00313,12.52805,1.16844,0.00804,0.07332,0.66269,615.3
